team,season,wp_cost,is_mistake,is_clear_mistake,n_plays,expected_wins_lost
DAL,2021,0.29471766836911306,26,4,121,0.29471766836911306
DAL,2022,0.29959404585996896,22,6,116,0.29959404585996896
DAL,2023,0.19713871446053466,19,3,103,0.19713871446053466
DAL,2024,0.3119624338991397,33,4,133,0.3119624338991397
DEN,2006,0.23717026882757508,20,2,121,0.23717026882757508
DEN,2007,0.2191560127626258,26,1,108,0.2191560127626258
DEN,2008,0.11135190424556625,17,2,88,0.11135190424556625
DEN,2009,0.21079044164064778,29,3,129,0.21079044164064778
DEN,2010,0.22932075199017668,29,4,130,0.22932075199017668
DEN,2011,0.2809735560270383,26,3,137,0.2809735560270383
DEN,2012,0.18667238422652602,13,3,103,0.18667238422652602
DEN,2013,0.03859670591913109,10,0,99,0.03859670591913109
DEN,2014,0.29649988923377746,32,5,110,0.29649988923377746
DEN,2015,0.35290448840669725,33,6,132,0.35290448840669725
DEN,2016,0.21782609945241646,24,3,134,0.21782609945241646
DEN,2017,0.12637302542220535,24,1,126,0.12637302542220535
DEN,2018,0.24533405389483065,29,2,131,0.24533405389483065
DEN,2019,0.2826895242995525,18,3,127,0.2826895242995525
DEN,2020,0.15062285617071233,24,2,114,0.15062285617071233
DEN,2021,0.2603324026369116,24,4,124,0.2603324026369116
DEN,2022,0.8513481498066452,33,7,153,0.8513481498066452
DEN,2023,0.24444577718018062,27,3,130,0.24444577718018062
DEN,2024,0.1956596345383841,22,4,126,0.1956596345383841
DET,2006,0.37130934348453676,31,4,120,0.37130934348453676
DET,2007,0.048881410338677045,16,0,111,0.048881410338677045
DET,2008,0.1212015942113507,31,0,131,0.1212015942113507
DET,2009,0.20240935850253958,28,2,127,0.20240935850253958
DET,2010,0.44390973485513785,23,4,132,0.44390973485513785
DET,2011,0.1553289794546976,18,1,124,0.1553289794546976
DET,2012,0.10342815688719834,14,1,123,0.10342815688719834
DET,2013,0.2740633845467587,20,5,110,0.2740633845467587
DET,2014,0.3846891568527536,31,6,124,0.3846891568527536
DET,2015,0.17489636593510693,21,2,115,0.17489636593510693
DET,2016,0.1962068065640787,12,2,104,0.1962068065640787
DET,2017,0.28958820082982983,15,3,116,0.28958820082982983
DET,2018,0.31337944039130533,22,3,124,0.31337944039130533
DET,2019,0.2248055514190815,23,3,108,0.2248055514190815
DET,2020,0.048760601857464725,16,0,102,0.048760601857464725
DET,2021,0.47383770954970106,31,6,119,0.47383770954970106
DET,2022,0.4721595481066263,32,9,117,0.4721595481066263
DET,2023,0.39115312368311994,32,4,118,0.39115312368311994
DET,2024,0.5081138467316698,34,7,103,0.5081138467316698
GB,2006,0.21031075469800006,27,3,135,0.21031075469800006
GB,2007,0.24575909192486736,21,3,106,0.24575909192486736
GB,2008,0.3190995308929534,27,6,113,0.3190995308929534
GB,2009,0.254760808207489,22,4,109,0.254760808207489
GB,2010,0.2649268560124557,20,5,110,0.2649268560124557
GB,2011,0.19060525860324562,15,3,87,0.19060525860324562
GB,2012,0.2189593675781375,19,3,112,0.2189593675781375
GB,2013,0.27934750821267695,19,3,100,0.27934750821267695
GB,2014,0.06018998969745616,11,0,93,0.06018998969745616
GB,2015,0.23210701725682034,26,3,128,0.23210701725682034
GB,2016,0.16929541366053683,17,1,101,0.16929541366053683
GB,2017,0.20747065190825198,29,1,116,0.20747065190825198
GB,2018,0.12248519076570152,20,1,113,0.12248519076570152
GB,2019,0.22387977224969288,18,2,114,0.22387977224969288
GB,2020,0.45467485385403417,16,3,84,0.45467485385403417
GB,2021,0.27767985423643604,19,6,105,0.27767985423643604
GB,2022,0.43232812109550206,31,5,110,0.43232812109550206
GB,2023,0.21500745101969765,24,4,110,0.21500745101969765
GB,2024,0.2124709344701201,26,4,106,0.2124709344701201
HOU,2006,0.18564247950283688,17,2,113,0.18564247950283688
HOU,2007,0.1290085062923312,22,2,96,0.1290085062923312
HOU,2008,0.23535886751686147,26,4,104,0.23535886751686147
HOU,2009,0.15400401204099345,20,2,108,0.15400401204099345
HOU,2010,0.30166545247523735,22,3,110,0.30166545247523735
HOU,2011,0.3301895487368109,24,4,121,0.3301895487368109
HOU,2012,0.16466675864957456,17,2,127,0.16466675864957456
HOU,2013,0.22464616180426644,23,4,137,0.22464616180426644
HOU,2014,0.1935093978529264,27,1,136,0.1935093978529264
HOU,2015,0.24098299544605967,24,3,141,0.24098299544605967
HOU,2016,0.4893036349603864,33,8,132,0.4893036349603864
HOU,2017,0.1413446797331145,29,1,127,0.1413446797331145
HOU,2018,0.3211238712139426,32,2,123,0.3211238712139426
HOU,2019,0.14331457474776296,18,1,105,0.14331457474776296
HOU,2020,0.2509639680899473,20,4,99,0.2509639680899473
HOU,2021,0.267333047728492,26,3,134,0.267333047728492
HOU,2022,0.2935203663990482,24,3,134,0.2935203663990482
HOU,2023,0.29323524495844533,20,6,134,0.29323524495844533
HOU,2024,0.19494575446873305,24,2,132,0.19494575446873305
IND,2006,0.08565447513767,13,0,76,0.08565447513767
IND,2007,0.2086329611501273,19,2,89,0.2086329611501273
IND,2008,0.1792586654345379,21,3,92,0.1792586654345379
IND,2009,0.1154260993896855,23,0,92,0.1154260993896855
IND,2010,0.2592357423083728,17,4,102,0.2592357423083728
IND,2011,0.1735618199364163,22,2,126,0.1735618199364163
IND,2012,0.14787835150912182,17,3,112,0.14787835150912182
IND,2013,0.15894453254349755,15,1,125,0.15894453254349755
IND,2014,0.11426865520374675,13,1,113,0.11426865520374675
IND,2015,0.2648874155963382,29,5,124,0.2648874155963382
IND,2016,0.09839050546374836,17,1,104,0.09839050546374836
IND,2017,0.3104724020679284,26,5,133,0.3104724020679284
IND,2018,0.31872800629803005,19,3,93,0.31872800629803005
IND,2019,0.327172643287904,30,5,110,0.327172643287904
IND,2020,0.46327293884022563,24,9,107,0.46327293884022563
IND,2021,0.259056271900254,23,4,119,0.259056271900254
IND,2022,0.28463514964784875,27,6,127,0.28463514964784875
IND,2023,0.4482878045340279,38,4,140,0.4482878045340279
IND,2024,0.3266450887042852,30,2,131,0.3266450887042852
JAX,2006,0.26501870115756776,22,3,119,0.26501870115756776
JAX,2007,0.47401779983466946,36,5,109,0.47401779983466946
JAX,2008,0.3304495009979331,30,5,113,0.3304495009979331
JAX,2009,0.30168195338281123,27,5,114,0.30168195338281123
JAX,2010,0.16529960213254818,26,0,109,0.16529960213254818
JAX,2011,0.3457905737196,28,5,140,0.3457905737196
JAX,2012,0.3205468987901267,35,4,145,0.3205468987901267
JAX,2013,0.21517206666852604,28,2,147,0.21517206666852604
JAX,2014,0.32622560441672616,20,3,139,0.32622560441672616
JAX,2015,0.28374524104235416,33,5,122,0.28374524104235416
JAX,2016,0.5266507158356583,26,4,125,0.5266507158356583
JAX,2017,0.2408292635477804,22,5,132,0.2408292635477804
JAX,2018,0.21755534977517255,22,2,128,0.21755534977517255
JAX,2019,0.30131780163674815,27,4,131,0.30131780163674815
JAX,2020,0.29542297563384706,28,4,112,0.29542297563384706
JAX,2021,0.3890174851729372,43,6,128,0.3890174851729372
JAX,2022,0.4288315263792774,34,5,117,0.4288315263792774
JAX,2023,0.3044970894916833,31,2,125,0.3044970894916833
JAX,2024,0.20767175818277167,30,2,119,0.20767175818277167
KC,2006,0.30993420462839716,26,4,116,0.30993420462839716
KC,2007,0.3026901096472925,32,6,141,0.3026901096472925
KC,2008,0.26679355450743564,29,2,120,0.26679355450743564
KC,2009,0.5562244102451718,40,10,153,0.5562244102451718
KC,2010,0.4478075705167905,34,6,135,0.4478075705167905
KC,2011,0.20362180117365775,24,3,133,0.20362180117365775
KC,2012,0.28208170470199534,36,4,128,0.28208170470199534
KC,2013,0.27693768017468534,24,2,127,0.27693768017468534
KC,2014,0.2586446979926712,23,3,112,0.2586446979926712
KC,2015,0.22294537296226452,25,2,118,0.22294537296226452
KC,2016,0.20518663112199903,16,2,121,0.20518663112199903
KC,2017,0.23970553843223402,22,4,116,0.23970553843223402
KC,2018,0.1560340512189329,21,3,86,0.1560340512189329
KC,2019,0.18668211504640983,17,2,93,0.18668211504640983
KC,2020,0.23434340968989947,17,4,91,0.23434340968989947
KC,2021,0.15229031254313924,11,4,85,0.15229031254313924
KC,2022,0.2769718599895966,18,6,91,0.2769718599895966
KC,2023,0.3739242789202582,24,6,109,0.3739242789202582
KC,2024,0.6702793882917957,31,5,112,0.6702793882917957
LA,2006,0.22136793154407347,30,3,128,0.22136793154407347
LA,2007,0.15857550260662906,25,0,129,0.15857550260662906
LA,2008,0.38401230670481595,33,8,140,0.38401230670481595
LA,2009,0.4254382609995174,41,5,141,0.4254382609995174
LA,2010,0.17507282337756594,16,2,147,0.17507282337756594
LA,2011,0.3093898144466444,35,4,154,0.3093898144466444
LA,2012,0.16199315996191896,23,1,126,0.16199315996191896
LA,2013,0.21422558302952716,22,3,123,0.21422558302952716
LA,2014,0.38699796699995254,13,3,119,0.38699796699995254
LA,2015,0.15464838608525072,28,1,139,0.15464838608525072
LA,2016,0.20400935290188063,19,4,139,0.20400935290188063
LA,2017,0.17660161093987056,25,2,117,0.17660161093987056
LA,2018,0.24834159480162327,26,4,97,0.24834159480162327
LA,2019,0.21114580338641747,17,2,111,0.21114580338641747
LA,2020,0.23990396157627641,21,2,115,0.23990396157627641
LA,2021,0.24303894110777569,30,3,104,0.24303894110777569
LA,2022,0.28330692136414115,23,3,120,0.28330692136414115
LA,2023,0.23679040754040864,23,2,125,0.23679040754040864
LA,2024,0.2962065615110188,28,3,117,0.2962065615110188
LAC,2006,0.38974344464701455,16,4,109,0.38974344464701455
LAC,2007,0.1511754475418262,28,1,115,0.1511754475418262
LAC,2008,0.21283288402115835,21,3,92,0.21283288402115835
LAC,2009,0.11781962570402807,19,2,92,0.11781962570402807
LAC,2010,0.2484059343752681,17,4,101,0.2484059343752681
LAC,2011,0.2509055712260352,13,3,90,0.2509055712260352
LAC,2012,0.2441342777058397,23,3,121,0.2441342777058397
LAC,2013,0.3517976633631891,16,4,98,0.3517976633631891
LAC,2014,0.21449935369553247,13,2,108,0.21449935369553247
LAC,2015,0.24667480093153193,21,3,118,0.24667480093153193
LAC,2016,0.6715755750648391,14,6,101,0.6715755750648391
LAC,2017,0.3398294760853295,24,5,111,0.3398294760853295
LAC,2018,0.18754274881300714,13,4,95,0.18754274881300714
LAC,2019,0.17828705224581512,19,2,96,0.17828705224581512
LAC,2020,0.21656604010520777,19,3,113,0.21656604010520777
LAC,2021,0.5366836929113791,25,4,108,0.5366836929113791
LAC,2022,0.34195008520558934,27,6,132,0.34195008520558934
LAC,2023,0.33835484016262524,26,6,137,0.33835484016262524
LAC,2024,0.2325401393590915,18,4,126,0.2325401393590915
LV,2006,0.2566560189355024,27,2,124,0.2566560189355024
LV,2007,0.32419500647901106,33,6,125,0.32419500647901106
LV,2008,0.25134806403737947,30,5,139,0.25134806403737947
LV,2009,0.21200291749438047,29,4,142,0.21200291749438047
LV,2010,0.2762471027664987,23,5,135,0.2762471027664987
LV,2011,0.2673725045482762,30,4,121,0.2673725045482762
LV,2012,0.27634614867920015,27,5,127,0.27634614867920015
LV,2013,0.1792834023598906,18,3,126,0.1792834023598906
LV,2014,0.20088018875996078,30,1,144,0.20088018875996078
LV,2015,0.17724745064188077,25,1,122,0.17724745064188077
LV,2016,0.3860560530989955,26,7,125,0.3860560530989955
LV,2017,0.25860076311731434,23,3,111,0.25860076311731434
LV,2018,0.39880579466468713,26,4,114,0.39880579466468713
LV,2019,0.24110544903160167,25,3,111,0.24110544903160167
LV,2020,0.3542992965877321,18,4,99,0.3542992965877321
LV,2021,0.12009881749227706,19,2,117,0.12009881749227706
LV,2022,0.4631583589619717,29,9,116,0.4631583589619717
LV,2023,0.40229318146533455,35,5,128,0.40229318146533455
LV,2024,0.36881882607138916,30,7,129,0.36881882607138916
MIA,2006,0.10578844079807558,19,0,136,0.10578844079807558
MIA,2007,0.30784849882670967,31,3,122,0.30784849882670967
MIA,2008,0.28472911517018146,27,3,114,0.28472911517018146
MIA,2009,0.5847903470063132,26,4,118,0.5847903470063132
MIA,2010,0.3159868118094185,19,4,124,0.3159868118094185
MIA,2011,0.2934002361918362,28,5,131,0.2934002361918362
MIA,2012,0.19586256514815686,21,3,118,0.19586256514815686
MIA,2013,0.2598005073685646,20,4,129,0.2598005073685646
MIA,2014,0.22335024986376295,30,3,113,0.22335024986376295
MIA,2015,0.1630000135392244,24,2,128,0.1630000135392244
MIA,2016,0.0947468576780989,18,1,112,0.0947468576780989
MIA,2017,0.14627729598286265,22,1,130,0.14627729598286265
MIA,2018,0.14033715436125827,16,3,120,0.14033715436125827
MIA,2019,0.2728002494108533,31,4,125,0.2728002494108533
MIA,2020,0.09670630433964293,12,0,110,0.09670630433964293
MIA,2021,0.21534832301898044,23,3,128,0.21534832301898044
MIA,2022,0.38236346231272117,23,7,117,0.38236346231272117
MIA,2023,0.2266154948254798,29,3,103,0.2266154948254798
MIA,2024,0.36854045176762446,32,5,125,0.36854045176762446
MIN,2006,0.5327964392501353,35,5,138,0.5327964392501353
MIN,2007,0.19572745275207976,20,2,116,0.19572745275207976
MIN,2008,0.1827010895649283,25,0,122,0.1827010895649283
MIN,2009,0.09722533626806865,13,2,111,0.09722533626806865
MIN,2010,0.3010757115093119,24,5,118,0.3010757115093119
MIN,2011,0.35883769347842676,24,5,122,0.35883769347842676
MIN,2012,0.09970740302168256,17,1,116,0.09970740302168256
MIN,2013,0.36525365990340797,25,3,113,0.36525365990340797
MIN,2014,0.3006926593632727,19,3,117,0.3006926593632727
MIN,2015,0.19413304629530542,24,2,113,0.19413304629530542
MIN,2016,0.19415352806350886,19,2,122,0.19415352806350886
MIN,2017,0.21753028081986492,14,3,114,0.21753028081986492
MIN,2018,0.16759827413310305,18,2,114,0.16759827413310305
MIN,2019,0.10440121870228089,13,1,104,0.10440121870228089
MIN,2020,0.2533889100506841,22,4,99,0.2533889100506841
MIN,2021,0.4852021842828963,23,6,131,0.4852021842828963
MIN,2022,0.34634876178575075,20,6,121,0.34634876178575075
MIN,2023,0.47986587762163574,36,7,118,0.47986587762163574
MIN,2024,0.2590219880676047,14,3,109,0.2590219880676047
NE,2006,0.2250351015877301,27,2,113,0.2250351015877301
NE,2007,0.24420318029785476,31,4,90,0.24420318029785476
NE,2008,0.23639973238085393,30,2,108,0.23639973238085393
NE,2009,0.2641137808407621,27,2,109,0.2641137808407621
NE,2010,0.15886076714813266,19,3,93,0.15886076714813266
NE,2011,0.264256238114493,20,3,97,0.264256238114493
NE,2012,0.16909578890948818,18,2,105,0.16909578890948818
NE,2013,0.2906699166266347,21,3,129,0.2906699166266347
NE,2014,0.24065334867311206,22,2,115,0.24065334867311206
NE,2015,0.13147277665872018,24,1,122,0.13147277665872018
NE,2016,0.43207379955004505,12,3,113,0.43207379955004505
NE,2017,0.4535914999243199,31,4,109,0.4535914999243199
NE,2018,0.2634781998951635,25,1,109,0.2634781998951635
NE,2019,0.36145837223647215,26,5,130,0.36145837223647215
NE,2020,0.1727118730029022,17,2,98,0.1727118730029022
NE,2021,0.10173552082542126,18,0,106,0.10173552082542126
NE,2022,0.3181733179191989,26,5,126,0.3181733179191989
NE,2023,0.37976167136140254,42,6,147,0.37976167136140254
NE,2024,0.29481730682380086,23,3,125,0.29481730682380086
NO,2006,0.22687891645552058,29,3,118,0.22687891645552058
NO,2007,0.19413886318180962,27,2,106,0.19413886318180962
NO,2008,0.14172870676316196,17,3,94,0.14172870676316196
NO,2009,0.22959978222066296,21,3,97,0.22959978222066296
NO,2010,0.14564725480515633,17,3,95,0.14564725480515633
NO,2011,0.26262399823086213,18,1,86,0.26262399823086213
NO,2012,0.12584092756249177,21,1,107,0.12584092756249177
NO,2013,0.351892032155607,19,5,109,0.351892032155607
NO,2014,0.531470817724693,18,6,93,0.531470817724693
NO,2015,0.237635229479275,22,2,105,0.237635229479275
NO,2016,0.12886159393940816,15,2,101,0.12886159393940816
NO,2017,0.1460487855270829,19,2,109,0.1460487855270829
NO,2018,0.25725234251990586,22,3,87,0.25725234251990586
NO,2019,0.1358312378270831,15,1,103,0.1358312378270831
NO,2020,0.1653056202003608,17,2,102,0.1653056202003608
NO,2021,0.2525398918363639,28,3,133,0.2525398918363639
NO,2022,0.14674434081550536,19,1,118,0.14674434081550536
NO,2023,0.3109467410301201,31,2,131,0.3109467410301201
NO,2024,0.27328364102955893,29,2,131,0.27328364102955893
NYG,2006,0.28673040487191026,25,5,114,0.28673040487191026
NYG,2007,0.3176928856022318,30,2,112,0.3176928856022318
NYG,2008,0.2857394712936909,20,2,111,0.2857394712936909
NYG,2009,0.0776635062481395,26,1,108,0.0776635062481395
NYG,2010,0.22680534904947808,13,5,105,0.22680534904947808
NYG,2011,0.23851936299599194,21,4,115,0.23851936299599194
NYG,2012,0.17120440390922317,21,1,103,0.17120440390922317
NYG,2013,0.27379313412290873,24,3,128,0.27379313412290873
NYG,2014,0.17729253666363126,22,2,121,0.17729253666363126
NYG,2015,0.28948588542113357,30,5,123,0.28948588542113357
NYG,2016,0.36936410879274806,34,2,133,0.36936410879274806
NYG,2017,0.6251444668406698,31,5,142,0.6251444668406698
NYG,2018,0.18963166669164555,24,3,120,0.18963166669164555
NYG,2019,0.373858025500191,30,6,118,0.373858025500191
NYG,2020,0.2669721600746962,21,5,118,0.2669721600746962
NYG,2021,0.35601633073934497,35,6,136,0.35601633073934497
