game_id,play_id,season,week,posteam,defteam,score_diff_pre_td,time_remaining,actual_decision,decision_success,optimal_decision,wp_pat,wp_2pt,wp_margin,wp_margin_signed,prob_2pt_better,p_pat,p_2pt,coach_correct,decision_clarity,confidence,confidence_category,mistake_type,wp_cost
2015_01_BAL_DEN,2001.0,2015,1,BAL,DEN,-6,1744,pat,1,pat,0.5227512056122634,0.5200112979188325,0.0027399076934309097,-0.0027399076934309097,0.0005,0.9815206195049695,0.46127304878827596,True,close_call,0.9995,obvious,correct,0.0
2015_01_BAL_DEN,2804.0,2015,1,DEN,BAL,-4,910,pat,1,pat,0.631167274785955,0.6265216267705914,0.0046456480153636015,-0.0046456480153636015,0.0,0.9710629087297232,0.45710243922532673,True,close_call,1.0,obvious,correct,0.0
2015_01_CAR_JAX,1958.0,2015,1,CAR,JAX,0,1912,pat,1,pat,0.7440203341264034,0.743631273859098,0.0003890602673054522,-0.0003890602673054522,0.2885,0.9422473762738983,0.48371100634397235,True,close_call,0.7115,lean,correct,0.0
2015_01_CAR_JAX,2297.0,2015,1,JAX,CAR,-7,1814,pat,0,two_point,0.4781214180682072,0.4792546771104503,0.0011332590422430955,0.0011332590422430955,0.907,0.9229363933878135,0.4733944741653889,False,close_call,0.907,clear,difference_of_opinion,0.0011332590422430955
2015_01_CAR_JAX,2650.0,2015,1,CAR,JAX,1,1441,pat,1,pat,0.8093017346279193,0.8083451033484178,0.0009566312795015186,-0.0009566312795015186,0.071,0.9422473762738983,0.48371100634397235,True,close_call,0.929,clear,correct,0.0
2015_01_CIN_OAK,402.0,2015,1,CIN,LV,0,3135,pat,1,two_point,0.6430451897653131,0.6442895692127704,0.0012443794474572556,0.0012443794474572556,0.9995,0.9125712277365711,0.4956314702714252,False,close_call,0.9995,obvious,difference_of_opinion,0.0012443794474572556
2015_01_CIN_OAK,1666.0,2015,1,CIN,LV,10,1941,pat,1,two_point,0.9348137189976901,0.9349567224902786,0.00014300349258855594,0.00014300349258855594,0.7545,0.9125712277365711,0.4956314702714252,False,close_call,0.7545,lean,difference_of_opinion,0.00014300349258855594
2015_01_CIN_OAK,1989.0,2015,1,CIN,LV,17,1807,pat,1,two_point,0.981996346657038,0.9820078858812171,1.1539224179069052e-05,1.1539224179069052e-05,0.5795,0.9125712277365711,0.4956314702714252,False,close_call,0.5795,toss_up,difference_of_opinion,1.1539224179069052e-05
2015_01_CIN_OAK,2735.0,2015,1,CIN,LV,24,1122,pat,0,pat,0.9986103210758924,0.9986044567893078,5.864286584666978e-06,-5.864286584666978e-06,0.1795,0.9125712277365711,0.4956314702714252,True,close_call,0.8205,clear,correct,0.0
2015_01_CIN_OAK,3492.0,2015,1,LV,CIN,-33,475,pat,1,two_point,0.0009206016101319414,0.000948914615243739,2.8313005111797566e-05,2.8313005111797566e-05,1.0,0.9539124444344645,0.47285443727616816,False,close_call,1.0,obvious,difference_of_opinion,2.8313005111797566e-05
2015_01_CIN_OAK,3864.0,2015,1,LV,CIN,-26,133,two_point,0,two_point,0.0035520523028744317,0.003690927114747149,0.00013887481187271726,0.00013887481187271726,1.0,0.9438596970502917,0.47285443727616816,True,close_call,1.0,obvious,correct,0.0
2015_01_CLE_NYJ,1072.0,2015,1,CLE,NYJ,0,2461,pat,1,two_point,0.7003215914793046,0.7016762824870972,0.0013546910077926189,0.0013546910077926189,0.9915,0.9069587244560801,0.49083081971463277,False,close_call,0.9915,obvious,difference_of_opinion,0.0013546910077926189
2015_01_CLE_NYJ,1271.0,2015,1,NYJ,CLE,-7,2381,pat,1,two_point,0.4910247995667438,0.49225928935218977,0.0012344897854459913,0.0012344897854459913,0.963,0.9291330084780623,0.4829984229681557,False,close_call,0.963,obvious,difference_of_opinion,0.0012344897854459913
2015_01_CLE_NYJ,2039.0,2015,1,NYJ,CLE,-3,1826,pat,1,two_point,0.6435654595483993,0.6441022552947884,0.000536795746389096,0.000536795746389096,0.7565,0.9291330084780623,0.4829984229681557,False,close_call,0.7565,lean,difference_of_opinion,0.000536795746389096
2015_01_CLE_NYJ,2496.0,2015,1,NYJ,CLE,4,1371,pat,1,pat,0.8884538986264581,0.8877572299142994,0.0006966687121586768,-0.0006966687121586768,0.0375,0.9291330084780623,0.4829984229681557,True,close_call,0.9625,obvious,correct,0.0
2015_01_CLE_NYJ,3242.0,2015,1,NYJ,CLE,14,638,pat,1,pat,0.9936918477357939,0.993571850840166,0.00011999689562791627,-0.00011999689562791627,0.0,0.9291330084780623,0.4829984229681557,True,close_call,1.0,obvious,correct,0.0
2015_01_DET_SD,231.0,2015,1,DET,LAC,0,3346,pat,1,pat,0.624749355180572,0.6245596891294105,0.0001896660511614412,-0.0001896660511614412,0.279,0.9560957871439589,0.47578809208344114,True,close_call,0.721,lean,correct,0.0
2015_01_DET_SD,950.0,2015,1,DET,LAC,4,2548,pat,1,pat,0.7859207293835542,0.7851698403039846,0.00075088907956955,-0.00075088907956955,0.0425,0.9560957871439589,0.47578809208344114,True,close_call,0.9575,obvious,correct,0.0
2015_01_DET_SD,1157.0,2015,1,DET,LAC,11,2329,pat,1,pat,0.9159882239129554,0.9153878657925122,0.000600358120443234,-0.000600358120443234,0.0035,0.9560957871439589,0.47578809208344114,True,close_call,0.9965,obvious,correct,0.0
2015_01_DET_SD,1385.0,2015,1,LAC,DET,-18,2102,pat,1,two_point,0.15218846870743089,0.15470945446898446,0.0025209857615535736,0.0025209857615535736,1.0,0.9023595381496425,0.492083358028762,False,close_call,1.0,obvious,difference_of_opinion,0.0025209857615535736
