Category,Subcategory,N,Optimal Rate,Trend (pp/year),p-value
Margin,Moderate (2-5pp),20297,0.9450657732669853,-0.08033121744206664,0.15794510470220077
Margin,Close (0-2pp),42731,0.6262198403969016,-0.3753500178960911,1.617184410269161e-05
Margin,Clear (5-10pp),8168,0.9744123408423114,0.06721095091624045,0.0812773863183548
Margin,Obvious (10+pp),515,0.9533980582524272,0.06421162399812623,0.7028170624499497
Yards to Go,Short (1-2),13641,0.5819954548786745,-0.2844595650144717,0.010531922280951914
Yards to Go,Long (6-10),23867,0.8203377047806595,-0.1679906299362506,0.06096980248289971
Game Time,End game (<5min),8641,0.626200671218609,0.00033626874555742686,0.9983361290637077
Game Time,Early (30+min),35466,0.8308802797045057,-0.3860488382638188,0.00012908120325422692
