season,n_decisions,mean_forgone_wp,total_forgone_wp,pct_correct
2006,3829,0.002013219667131012,7.7086181054446445,0.7605118829981719
2007,3758,0.001942187611926471,7.298741045619678,0.7485364555614689
2008,3674,0.0016764514761617574,6.159282723418297,0.7751769188894937
2009,3849,0.002013444614855329,7.749748322578162,0.7594180306573136
2010,3840,0.002238870579057907,8.597263023582363,0.778125
2011,3845,0.0018031619289385593,6.93315761676876,0.7875162548764629
2012,3820,0.0021458055044047846,8.196977026826277,0.775130890052356
2013,3904,0.002001734759062807,7.814772499381199,0.7820184426229508
2014,3740,0.0021363713959567095,7.990029020878094,0.7628342245989305
2015,3824,0.002091894118451905,7.9994031089600846,0.7324790794979079
2016,3703,0.0019963348689993918,7.392428019904747,0.7723467458817175
2017,3869,0.0020008932243145328,7.741455884872928,0.7637632463168778
2018,3574,0.0017607583862679045,6.292950472521491,0.7599328483491886
2019,3634,0.002300350296037669,8.35947297580089,0.7377545404512933
2020,3402,0.0024133967855412388,8.210375864411294,0.762198706643151
2021,3777,0.0024266593191213087,9.165492248321183,0.7378872120730738
2022,3870,0.00260850610724862,10.09491863505216,0.7545219638242894
2023,4047,0.0022679502920755533,9.178394832029765,0.7398072646404744
2024,3827,0.0026437034725614377,10.117453189492622,0.7258949568852887
