period,n_situations,n_go_for_it,go_rate,correct_rate
pre_belichick,43,4,0.09302325581395349,0.9302325581395349
post_belichick_immediate,35,1,0.02857142857142857,0.9142857142857143
post_belichick_later,55,3,0.05454545454545454,0.9454545454545454
analytics_era,69,11,0.15942028985507245,0.8405797101449275
