period,pats_n,pats_go_rate,league_n,league_go_rate,difference
pre_2009,0,0.0,4189,0.28479350680353305,-0.28479350680353305
2010_2014,0,0.0,5120,0.2509765625,-0.2509765625
2015_2019,29,0.20689655172413793,4665,0.3123258306538049,-0.105429278929667
2020_2024,160,0.36875,4981,0.47259586428428024,-0.10384586428428022
