war_bucket,total_salary,avg_salary,total_war,avg_war,n_players,dollars_per_war
0-1,7745130097,2386788.9359013867,1657.9,0.510909090909091,3245,4671650.942155739
1-2,6338598890,3334349.7580220937,2872.4,1.5109942135718044,1901,2206725.696281855
2-3,5401112494,4467421.417700579,3027.8,2.504383788254756,1209,1783840.5753352267
3-4,4148198109,5089813.6306748465,2850.8,3.497914110429448,815,1455099.6593938542
4-5,2932023160,6008244.180327869,2205.3,4.51905737704918,488,1329534.8297283815
5+,3964866533,7342345.4314814815,3444.9,6.379444444444444,540,1150938.062933612
