era,n_players,r_squared,rmse,residual_var,slope,intercept
2000-2004,1943,0.9378243461528266,0.2647791767246088,0.07010801242696164,1.0836595818989487,14.941563431071609
2005-2009,1861,0.9591205441164877,0.21907495760199414,0.04799383704831553,1.1484994652543026,15.165411416737372
2010-2014,1782,0.9678137391632596,0.20507453615526905,0.042055565379298755,1.1983001049049475,15.41763858765412
2015-2019,1859,0.9804969547419744,0.1626510776205725,0.026455373051133504,1.245057172861438,15.693055759842881
2020-2024,1947,0.9819302378858622,0.1546242323104883,0.023908653217607854,1.2650942007144632,15.827963684020078
