war_bucket,total_salary,avg_salary,total_war,avg_war,n_players,dollars_per_war
0-1,12742585590.918295,2804266.195184484,2210.5,0.4864656690140845,4544,5764571.6312681725
1-2,19901562018.766678,9095777.887918957,3273.0,1.4958866544789762,2188,6080526.128556883
2-3,19659811396.277428,16141060.25966948,3045.1,2.50008210180624,1218,6456212.07719859
3-4,16501767614.04078,25002678.20309209,2305.3,3.492878787878788,660,7158186.619546601
4-5,12919403528.721983,33383471.6504444,1744.2,4.506976744186047,387,7407065.433277138
5+,20465669670.321884,51811821.95018198,2500.5,6.330379746835443,395,8184630.941940365
