year,n_players,r_squared,rmse,residual_var,slope
2000,488,0.12269576450648931,1.2216694580161833,1.492476264649555,0.4829290575807206
2001,475,0.12449318079431904,1.257264745198821,1.5807146395198564,0.5113823664520618
2002,491,0.10750844475041793,1.2653646562152845,1.601147713198825,0.4843453476636097
2003,466,0.1545963530325916,1.2142106616135282,1.474307530775962,0.5405891879740629
2004,481,0.12854590620180986,1.2132102076569333,1.471879007962979,0.4929295588590093
2005,484,0.06985580321878188,1.2464894678301197,1.553735993411415,0.38066726073410434
2006,454,0.0804155010940923,1.2799524022591777,1.6382781520490404,0.40931473962019893
2007,506,0.07108340947475865,1.2624480403349885,1.5937750545456526,0.3772628674583358
2008,480,0.045703371248114265,1.2924890743125717,1.6705280072173683,0.3050343935926835
2009,467,0.06464785252760781,1.2575199569631956,1.5813564421607174,0.3405943556485369
2010,456,0.07055572716924309,1.2532873986167035,1.5707293035314238,0.37717739983538545
2011,489,0.06643832518308586,1.2344389371368343,1.5238394895195173,0.3479524231151863
2012,489,0.10613785085671218,1.191271242136831,1.4191271723422283,0.456082171849145
2013,512,0.09832200016711398,1.2123842199586532,1.469875496804752,0.42896779245136146
2014,478,0.08206253922678212,1.2436999863845102,1.5467896561328314,0.39878878715105287
2015,483,0.05653795047937658,1.257421782145238,1.5811095382133067,0.32465440775837395
2016,499,0.06009951214381644,1.302185525270277,1.6956871422234268,0.3591659492285016
