primary_position,salary,war,n_players,dollars_per_war,avg_salary,avg_war,deviation_from_mean,pct_deviation
1B,3310686999,1289.2,545,2568016.598665839,6074655.044036698,2.3655045871559635,741743.0943061744,40.61511556376915
P,13015123696,6514.0,3918,1998023.2876880565,3321879.4527820316,1.6625829504849412,171749.78332839184,9.404384552390002
OF,6943538744,3681.2,1597,1886216.1099641423,4347863.959924859,2.305072010018785,59942.60560447769,3.282235955424158
3B,2209640813,1287.5,519,1716225.8741747574,4257496.749518304,2.480732177263969,-110047.63018490723,-6.025802264677359
SS,1775759958,1067.6,485,1663319.5560134884,3661360.7381443297,2.201237113402062,-162953.94834617618,-8.92275707648246
C,1673750810,1098.5,619,1523669.376422394,2703959.3053311794,1.7746365105008077,-302604.12793727056,-16.569485743230494
2B,1601428263,1121.1,515,1428443.7275889753,3109569.4427184467,2.176893203883495,-397829.7767706893,-21.783690987192962
