era,n_players,r_squared,rmse,residual_var,slope,avg_salary,avg_war
2000-2004,2401,0.1271725141169387,1.2369965913606151,1.530160567037781,0.5037215262888864,2919856.117451062,2.013910870470637
2005-2008,1924,0.06532128966496845,1.2712893348048298,1.6161765727885067,0.36531453751410287,3545165.7650727653,1.980093555093555
2009-2012,1901,0.0757800034143456,1.235187214981935,1.5256874560548284,0.37846138167267945,3911050.7517096265,1.9578642819568646
2013-2016,1972,0.07259794645674199,1.256307068953705,1.5783074515030493,0.37666721953637367,4697539.723123732,1.872261663286004
